15713,"Talk Number"
0,"0","  "
1,"1","郭靖"
2,"2","黄蓉"
3,"3","令狐冲"
4,"4","石破天"
5,"5","张无忌"
6,"6","胡斐"
7,"7","萧峰"
8,"8","霍青桐"
9,"9","香香"
10,"A","韦小宝"
11,"B","任盈盈"
12,"C","小龙女"
13,"D","杨过"
14,"E","袁紫衣"
15,"F","李文秀"
16,"10","周芷若"
17,"11","虚竹"
18,"12","王语嫣"
19,"13","袁承志"
20,"14","小昭"
21,"15","阿朱"
22,"16","萧中慧"
23,"17","袁冠南"
24,"18","苗若兰"
25,"19","程灵素"
26,"1A","段誉"
27,"1B","水笙"
28,"1C","狄云"
29,"1D","仪琳"
30,"1E","陈家洛"
31,"1F","双儿"
32,"20","赵敏"
33,"21","温青青"
34,"22","阿九"
35,"23","郭襄"
36,"24","谢逊"
37,"25","范遥"
38,"26","无尘"
39,"27","杨逍"
40,"28","陈近南"
41,"29","殷天正"
42,"2A","赵半山"
43,"2B","韦一笑"
44,"2C","文泰来"
45,"2D","朱子柳"
46,"2E","冷谦"
47,"2F","陆乘风"
48,"30","不戒"
49,"31","吴六奇"
50,"32","莫大"
51,"33","彭莹玉"
52,"34","骆冰"
53,"35","张三"
54,"36","李四"
55,"37","薛慕华"
56,"38","神雕"
57,"39","石清"
58,"3A","闵柔"
59,"3B","建宁"
60,"3C","说不得"
61,"3D","周颠"
62,"3E","武三通"
63,"3F","蓝凤凰"
64,"40","何铁手"
65,"41","李沅芷"
66,"42","余鱼同"
67,"43","陆冠英"
68,"44","程遥迦"
69,"45","张中"
70,"46","付敏仪"
71,"47","范百龄"
72,"48","石清露"
73,"49","黛绮丝"
74,"4A","冯阿三"
75,"4B","耶律齐"
76,"4C","康广陵"
77,"4D","卓不凡"
78,"4E","田伯光"
79,"4F","乌老大"
80,"50","程青竹"
81,"51","曲非烟"
82,"52","苏荃"
83,"53","木婉清"
84,"54","钟灵"
85,"55","苟读"
86,"56","吴领军"
87,"57","焦宛儿"
88,"58","冯默风"
89,"59","武敦儒"
90,"5A","武修文"
91,"5B","程瑛"
92,"5C","陆无双"
93,"5D","平一指"
94,"5E","柯镇恶"
95,"5F","灵鹫四剑"
96,"60","公孙绿萼"
97,"61","郭芙"
98,"62","李傀儡"
99,"63","阿绣"
100,"64","韦春芳"
101,"65","胡青牛"
102,"66","王难姑"
103,"67","老头子"
104,"68","祖千秋"
105,"69","桃谷六仙"
106,"6A","胡桂南"
107,"6B","太岳四侠"
108,"6C","天魁星"
109,"6D","天罡星"
110,"6E","天机星"
111,"6F","天闲星"
112,"70","天勇星"
113,"71","天雄星"
114,"72","天猛星"
115,"73","天威星"
116,"74","天英星"
117,"75","天贵星"
118,"76","天富星"
119,"77","天满星"
120,"78","天孤星"
121,"79","天伤星"
122,"7A","天立星"
123,"7B","天捷星"
124,"7C","天暗星"
125,"7D","天佑星"
126,"7E","天空星"
127,"7F","天速星"
128,"80","天异星"
129,"81","天杀星"
130,"82","天微星"
131,"83","天究星"
132,"84","天退星"
133,"85","天寿星"
134,"86","天剑星"
135,"87","天平星"
136,"88","天罪星"
137,"89","天损星"
138,"8A","天败星"
139,"8B","天牢星"
140,"8C","天慧星"
141,"8D","天暴星"
142,"8E","天哭星"
143,"8F","天巧星"
144,"90","地魁星"
145,"91","地煞星"
146,"92","地勇星"
147,"93","地杰星"
148,"94","地雄星"
149,"95","地威星"
150,"96","地英星"
151,"97","地奇星"
152,"98","地猛星"
153,"99","地文星"
154,"9A","地正星"
155,"9B","地阔星"
156,"9C","地阖星"
157,"9D","地强星"
158,"9E","地暗星"
159,"9F","地轴星"
160,"A0","地会星"
161,"A1","地佐星"
162,"A2","地佑星"
163,"A3","地灵星"
164,"A4","地兽星"
165,"A5","地微星"
166,"A6","地慧星"
167,"A7","地暴星"
168,"A8","地然星"
169,"A9","地猖星"
170,"AA","地狂星"
171,"AB","地飞星"
172,"AC","地走星"
173,"AD","地巧星"
174,"AE","地明星"
175,"AF","地进星"
176,"B0","地退星"
177,"B1","地满星"
178,"B2","地遂星"
179,"B3","地周星"
180,"B4","地隐星"
181,"B5","地异星"
182,"B6","地理星"
183,"B7","地俊星"
184,"B8","地乐星"
185,"B9","地捷星"
186,"BA","地速星"
187,"BB","地镇星"
188,"BC","地稽星"
189,"BD","地魔星"
190,"BE","地妖星"
191,"BF","地幽星"
192,"C0","地伏星"
193,"C1","地空星"
194,"C2","地僻星"
195,"C3","地全星"
196,"C4","地孤星"
197,"C5","地角星"
198,"C6","地短星"
199,"C7","地藏星"
200,"C8","地囚星"
201,"C9","地平星"
202,"CA","地损星"
203,"CB","地奴星"
204,"CC","地察星"
205,"CD","地恶星"
206,"CE","地丑星"
207,"CF","地数星"
208,"D0","地阴星"
209,"D1","地刑星"
210,"D2","地壮星"
211,"D3","地劣星"
212,"D4","地健星"
213,"D5","地耗星"
214,"D6","地贼星"
215,"D7","地狗星"
216,"D8","《金庸水浒传》"
217,"D9","前两章内部测试版0.13"
218,"DA","铁血丹心论坛出品"
219,"DB","请输入对话内容，每隔12个汉字加一个星号"
220,"DC","请输入对话内容，每隔12个汉字加一个星号"
221,"DD","目标 "
222,"DE","X"
223,"DF","机会"
224,"E0","%d"
225,"E1","正确："
226,"E2","确定退出（Y/N）？"
227,"E3","对不起，原材料不足，请集齐材料再来。"
228,"E4","请选择种子"
229,"E5","请选择水"
230,"E6","已有"
231,"E7","当前只有一种种子和一种水，是否种植？"
232,"E8","是"
233,"E9","否"
234,"EA","想要买啥？"
235,"EB","你的钱不够"
236,"EC","缺货休业中"
237,"ED","齐云傲"
238,"EE","天龙门人"
239,"EF","小孩"
240,"F0","众女"
241,"F1","奚长老"
242,"F2","女人"
243,"F3","商贩甲"
244,"F4","商贩乙"
245,"F5","某岛主"
246,"F6","某洞主"
247,"F7","众人"
248,"F8","女童"
249,"F9","狗总管"
250,"FA","小白"
251,"FB","丁敏君"
252,"FC","静玄"
253,"FD","木人"
254,"FE","红花会众"
255,"FF","宋兵"
256,"100","蒙哥"
257,"101","乞丐"
258,"102","路人"
259,"103","江湖艺人"
260,"104","恒山弟子"
261,"105","对不起，原材料不足，请集齐材料再来。"
262,"106","请选择种子"
263,"107","请选择水"
264,"108","已有"
265,"109","当前只有一种种子和一种水，是否种植？"
266,"10A","是"
267,"10B","否"
268,"10C","请选择果实"
269,"10D","当前只有一种果实和一种水，是否酿造？"
270,"10E","请选择粮食"
271,"10F","当前只有一种粮食和一种水，是否制作？"
272,"110","请选择花草"
273,"111","当前只有一种花草和一种水，是否制作？"
274,"112","请选择材料"
275,"113","当前只有一种花草和一种材料，是否制作？"
276,"114","请选择欲打造之兵器"
277,"115","当前只有一种可打造兵器和一种材料，是否打造？"
278,"116","物品"
279,"117","价格"
280,"118","可购入"
281,"119","已持有"
282,"11A","您目前还有银两"
283,"11B","打造成功"
284,"11C","攻击力"
285,"11D","防御力"
286,"11E","轻功加成"
287,"11F","增加"
288,"120","客官走好，欢迎下次再来"
289,"121","客官，您的银子不够呀，小店概不赊账"
290,"122","可打造次数："
291,"123","当前没有可打造之武器"
292,"124","易大彪"
293,"125","说书人"
294,"126","乔峰"
295,"127","蒙古兵"
296,"128","江湖人士"
297,"129","江湖老宿"
298,"12A","达摩"
299,"12B","藏边五丑"
300,"12C","请输入对话内容，每隔12个汉字加一个星号"
301,"12D","孩子，还记得这里为什么叫小村吗？"
302,"12E","当然记得，爷爷告诉过我呀！这里以前出现过三位英雄，小虾米、小小猪、江小鱼，就因为他们的名字里都有小字，所以这里才叫小村。"
303,"12F","小孩子记忆力不错嘛，那你还记得他们的英雄事迹吗？"
304,"130","小虾米前辈曾经独创野球拳，一人打败过十大高手。小小猪前辈自创的，叫……叫……对了，叫神山剑法，并和几个伙伴一起打败20大高手。最厉害的就是江小鱼前辈了，他的绝招叫犽月流空，不但在奥林匹克大会上击败所有对手，成为武林盟主，而且还率领江湖群雄，一起打败了日本侵略者。"
305,"131","恩，看来你都记住了。那么，你想成为像他们一样的英雄么？"
306,"132","想啊……可是……可是……"
307,"133","怎么了？犹豫什么？"
308,"134","可是我觉得我不行，我不会那么厉害,连爷爷教我的那套心法我都练不好……"
309,"135","孩子，武功可以不断的修炼。你的路还长着呢，终有一天，你会比他们更厉害的。不过，要想成为一名真正的英雄，必须要有一个博大宽容的心。"
310,"136","……"
311,"137","好了，没事了，你快去睡觉吧。"
312,"138","哦。我明天还要听爷爷给我讲故事。"
313,"139","那你现在乖乖去睡觉。记住，不论夜里发生什么事情，你都不许出来。你要是不听话，爷爷以后就不给你讲故事了。"
314,"13A","我听话，我现在就去睡觉。"
315,"13B","师兄，你现在跟他说这些，他根本听不懂的。"
316,"13C","我何尝不知道啊，可是，今晚那人就要来了。"
317,"13D","他真的还是要来这里？我们为什么不……"
318,"13E","师弟，你也知道，这孩子的性格很懦弱，如果不经历这样的生离死别，是不会坚强起来的。更何况，森罗万象如果没有一颗坚强的心，也发挥不了应有的威力，你我来到这个世界已经很久了，是该回去的时候了。今后的路，就让他自己走吧。"
319,"13F","我回去无所谓啊，这里也没什么好玩的了。就是怕这孩子……"
320,"140","放心吧，我都安排好了。"
321,"141","切，明明是我安排的。"
322,"142","你终于来了"
323,"143","你知道我要来？你知道我要来干什么？"
324,"144","靠，你那点小算盘，还想瞒谁啊"
325,"145","好，不愧是武林圣者！我也不想瞒，我就是想让他出来见我，我要报仇，要报仇！"
326,"146","你已经杀了这么多人，他出来了么？你还要杀么？"
327,"147","我不管，我要逼他出来，我找不到其他的办法"
328,"148","你真是个疯子"
329,"149","好吧，你动手吧，让我看看你的七伤拳练到什么境界了"
330,"14A","啊------"
331,"14B","5555……爷爷……你们怎么了……"
332,"14C","爹、娘，你们听，有哭声！"
333,"14D","靖哥哥，看来我们还是来晚了。"
334,"14E","快，先进去看看"
335,"14F","爷爷……爷爷……你怎么不起来了……"
336,"150","你爷爷已经死啦，当然不会起来了"
337,"151","芙儿，住口！"
338,"152","孩子，你就是&&么？"
339,"153","我叫&&，你怎么知道？你们是谁啊？"
340,"154","我叫郭靖，南贤北丑应该跟你提过吧。"
