3893,"Talk Number"
0,"0","在下赵半山．"
1,"1","请问你是胡斐胡大哥吗？　"
2,"2","正是在下．"
3,"3","听说大哥外号“雪山飞狐”*刀法变幻莫测，轻功也有如*飞天狐狸般的敏捷．"
4,"4","敢情你是来考较我功夫的．*那就动手吧！　"
5,"5","不是的，我来是想问你有关*一本书的下落．"
6,"6","哼！又是来找《雪山飞狐》*的狂妄小子．*废话休说，动手吧！"
7,"7","不掂掂自己的份量，就敢上*我辽东胡家．"
8,"8","小弟实在有要找到书的原因，*并不是大哥所想的贪求武林*秘笈的小人．*技不如人，我也不再多说，*他日再向胡大侠领教胡家刀*法。"
9,"9","名闻天下的胡家刀法，亦不*过尔尔．江湖上所传，恐怕*言过其实了．"
10,"A","住嘴！要不是我所得之刀谱*不全，你哪接得了我十招．"
11,"B","刀谱不全？你说你使的是不*完整的胡家刀法？"
12,"C","是的，等我寻得所失之刀谱*咱们俩再较量较量吧！　"
13,"D","那胡大哥可知《雪山飞狐》*一书之下落？"
14,"E","只因我名字倒过来念之音为*“飞狐”，而且长年居住於东北*雪地里，　*所以江湖上的人送给我一个*外号“雪山飞狐”．**此外号正好与人人都想争夺*的《金氏天书》其中一书名*称相同．*也正因如此，在这几年间引*来了一些武林人士的登门拜*访．*不过，我胡斐确实不知此书*的下落．"
15,"F","那告辞了。他日若有机会，*再向胡大哥请教．"
16,"10","等我寻得所失之刀谱，　*咱们俩再较量较量吧．"
17,"11","小子，你有种，等我几位*师兄回来有你好受的！"
18,"12","想领教我胡家刀法，*那就来吧！　"
19,"13","晚辈斗胆向前辈讨教讨教．"
20,"14","小兄弟，再次造访，　*是否练就了更高深的武功？*胡某候教．"
21,"15","小兄弟，功夫虽有精进，　*但火侯仍嫌不够．"
22,"16","他日再向胡大哥领教刀法．"
23,"17","可恨啊！可恨！*只恨胡某刀谱不全，　*未能练成我祖传之胡家刀法．"
24,"18","咦？这．．这是．．．"
25,"19","此两页刀法乃是从江南恶霸阎基家中所得．难道这就是*你所失之物？　"
26,"1A","正是家传胡氏刀谱的总诀。*多年来寻觅不得，*不料今日被你找到．*小时候我曾听平四叔说，*偷我胡家刀谱的人，也是我*的杀父仇人之一．*今後我定要勤练胡家刀法　*再找那苗人凤及恶霸阎基*报杀父之仇．*小兄弟，你的盛情　*我胡斐不知如何言谢！**有什麽需要我效劳的，　*尽管说吧！　"
27,"1B","找到了你胡家刀法的缺页，　*我却还没找到《雪山飞狐》*一书，唉！　"
28,"1C","我胡斐虽不知该书的下落，　*但我曾经想过，为什麽我的*名字与这本书名这麽相似？　*莫非家父当初跟此书有什麽*关联？　**这样吧！若你有需要的话，　*尽管讲一声，我就陪你找上*一找。*我正好也想到江湖上去历练*一下，找害死我父亲的苗人*凤报仇。*当然，还得先找那偷我胡家*刀法的阎基报仇，害我一直*无法练功。走，找他去。*而我屋内的东西，你若有需*要，也可自行拿取。"
29,"1D","胡大哥肯随我闯荡江湖否？　"
30,"1E","好，我就随你一走．"
31,"1F","胡大哥肯随我闯荡江湖帮这*个忙，那再好也不过了．"
32,"20","有什麽要我帮忙的？尽管说*出来．"
33,"21","胡大哥，我知道苗人凤的下*落．而关余你们之间的恩怨*是如此如此这般这般．．"
34,"22","胡大哥是否肯随我一走？　"
35,"23","胡大哥肯随我一走　*那再好也不过了．"
36,"24","这位小哥，你怎麽了？　"
37,"25","我．．我．．只记得自己坐*在岩石上练功．突然间全身*半边冰冷，半边火热．．"
38,"26","莫非兄弟被蚊子叮到了？　"
39,"27","老伯伯呢？他说要教我练捉*麻雀的本事，却没跟我说练*完会忽冷忽热，难过死了．"
40,"28","捉麻雀的本事？　"
41,"29","是啊．　*老伯伯先是教我练泥人上的*功夫，　*练到後来，常会全身发冷．　*可是老伯伯说这是练功应有*之象．*後来老伯伯又教我其它的练*法，可是又更难过了。有时*全身发冷，有时奇热难忍。　*练这捉麻雀的本事真辛苦！　"
42,"2A","原来兄台练功时走火入魔！　"
43,"2B","啊！又来了．．．．*我．．我不．．不跟你说了"
44,"2C","我．．我好难过．．．"
45,"2D","小兄弟，快将这酒喝下去！　"
46,"2E","我不喜欢喝酒．"
47,"2F","快喝了它吧，喝下去之後，　*你就不会忽冷忽热了．"
48,"30","真的？那我要喝．"
49,"31","哇！这酒怎麽这麽辛辣？　*不过好像真的挺有效的．　*谢谢你！　*既然老伯伯不在了，　*我要去找妈妈跟阿黄了．"
50,"32","你要找你妈妈？　*我正好在四处旅行，不妨我*们结伴一起走，好吗？　"
51,"33","好啊！　"
52,"34","我要去找妈妈跟阿黄．"
53,"35","奇怪，头怎麽这麽重？*莫非．．．"
54,"36","原本预备对付苗人凤的悲酥*清风，居然先让你受用了！　"
55,"37","你．．你．．．"
